idx,gcp_service_id,gcp_service,gcp_total_cost,month,service_id,service,metamist_total_cost,diff
Artifact Registry Credit|202108|seqr,0,0,0.0,202108,seqr,Artifact Registry Credit,-0.08865799999999999,-0.08865799999999999
Artifact Registry Credit|202109|seqr,0,0,0.0,202109,seqr,Artifact Registry Credit,-9.249935000000002,-9.249935000000002
Artifact Registry Credit|202110|seqr,0,0,0.0,202110,seqr,Artifact Registry Credit,-6.671539,-6.671539
Artifact Registry Credit|202111|seqr,0,0,0.0,202111,seqr,Artifact Registry Credit,-6.483050000000001,-6.483050000000001
Artifact Registry Credit|202112|seqr,0,0,0.0,202112,seqr,Artifact Registry Credit,-6.785582,-6.785582
Artifact Registry|202107|149C-F9EC-3994,149C-F9EC-3994,Artifact Registry,55.72595600000001,202107,149C-F9EC-3994,Artifact Registry,55.446455999999976,-0.2795000000000343
Artifact Registry|202108|149C-F9EC-3994,149C-F9EC-3994,Artifact Registry,66.61620199999997,202108,149C-F9EC-3994,Artifact Registry,66.52754399999998,-0.08865799999999524
Artifact Registry|202108|seqr,0,0,0.0,202108,seqr,Artifact Registry,0.17731600000000003,0.17731600000000003
Artifact Registry|202109|149C-F9EC-3994,149C-F9EC-3994,Artifact Registry,75.27117900000002,202109,149C-F9EC-3994,Artifact Registry,66.02124400000005,-9.249934999999965
Artifact Registry|202109|seqr,0,0,0.0,202109,seqr,Artifact Registry,18.49987,18.49987
Artifact Registry|202110|149C-F9EC-3994,149C-F9EC-3994,Artifact Registry,70.27254900000005,202110,149C-F9EC-3994,Artifact Registry,63.60101000000003,-6.671539000000024
Artifact Registry|202110|seqr,0,0,0.0,202110,seqr,Artifact Registry,13.343077999999998,13.343077999999998
Artifact Registry|202111|149C-F9EC-3994,149C-F9EC-3994,Artifact Registry,49.847867999999956,202111,149C-F9EC-3994,Artifact Registry,43.36481799999999,-6.483049999999963
Artifact Registry|202111|seqr,0,0,0.0,202111,seqr,Artifact Registry,12.9661,12.9661
Artifact Registry|202112|149C-F9EC-3994,149C-F9EC-3994,Artifact Registry,52.554396999999945,202112,149C-F9EC-3994,Artifact Registry,45.76881499999998,-6.7855819999999625
Artifact Registry|202112|seqr,0,0,0.0,202112,seqr,Artifact Registry,13.571163999999996,13.571163999999996
BigQuery Credit|202109|seqr,0,0,0.0,202109,seqr,BigQuery Credit,0.0,0.0
BigQuery|202107|24E6-581D-38E5,24E6-581D-38E5,BigQuery,0.30467000000000005,202107,24E6-581D-38E5,BigQuery,0.26089800000000024,-0.04377199999999981
BigQuery|202108|24E6-581D-38E5,24E6-581D-38E5,BigQuery,0.05142699999999997,202108,24E6-581D-38E5,BigQuery,0.05142699999999997,0.0
