Sample ID (Collaborator)	Sex	Population name	Superpopulation name	Population description	Sample ID (Illumina)	Sample ID (SGDP)
abh107	male	Abkhazian	Caucasus	Abkhasian in Abkhazia or Russia	LP6005442-DNA_C02	S_Abkhasian-1
abh100	male	Abkhazian	Caucasus	Abkhasian in Abkhazia or Russia	LP6005442-DNA_D02	S_Abkhasian-2
HGDP01387	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01399	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01382	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01386	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01398	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01381	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01383	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01388	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01403	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01385	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01397	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01400	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01396	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01404	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01384	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01402	male	Adygei	Caucasus	Adygei in Caucasus, Russia	LP6005441-DNA_A01	S_Adygei-1
HGDP01401	female	Adygei	Caucasus	Adygei in Caucasus, Russia	LP6005441-DNA_B01	S_Adygei-2
HG02013	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02051	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01882	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01887	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01894	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01914	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02012	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02055	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01988	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01990	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01956	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01879	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01881	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01886	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02258	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02145	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01987	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02107	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02309	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02316	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02323	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02330	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02334	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02339	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02284	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02257	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02144	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02549	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02308	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02315	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02322	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02283	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02455	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02479	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02481	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
